GEN,AGS,04.03.2020,05.03.2020,06.03.2020,07.03.2020,08.03.2020,09.03.2020,10.03.2020,11.03.2020,12.03.2020,13.03.2020,14.03.2020,15.03.2020,16.03.2020,17.03.2020,18.03.2020,19.03.2020,20.03.2020,21.03.2020,22.03.2020,23.03.2020,24.03.2020,25.03.2020,26.03.2020,27.03.2020,28.03.2020,29.03.2020,30.03.2020,31.03.2020,01.04.2020,02.04.2020,03.04.2020,04.04.2020,05.04.2020,06.04.2020,07.04.2020,08.04.2020,09.04.2020,current,current_time
Flensburg,1001,0,0,0,0,0,0,0,0,0,1,1,4,6,7,7,8,10,13,15,15,15,16,18,21,21,21,21,22,23,25,25,27,31,28,28,30,30,31,09/04/2020 0:00
Kiel,1002,0,0,0,0,0,0,0,0,6,7,11,12,13,17,18,25,34,36,37,41,51,51,63,66,74,74,100,114,121,124,136,146,157,160,164,169,170,175,09/04/2020 0:00
Lübeck,1003,1,1,1,1,2,2,2,2,7,7,8,9,10,11,11,18,19,43,53,56,57,63,63,63,67,69,69,77,88,97,98,101,103,103,103,119,125,125,08/04/2020 20:41
Neumünster,1004,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,7,7,7,10,11,12,13,15,15,15,19,24,25,29,30,30,31,34,34,36,40,09/04/2020 0:00
Dithmarschen,1051,0,0,1,1,1,1,1,1,1,1,1,1,6,6,6,10,11,11,12,12,15,15,16,19,20,24,24,28,27,28,33,35,37,37,42,46,49,50,09/04/2020 18:00
Herzogtum Lauenburg,1053,1,1,1,1,1,2,2,2,3,3,5,5,12,12,13,19,21,24,24,36,39,51,52,56,71,80,80,80,92,112,115,135,147,155,155,162,178,178,08/04/2020 20:40
Nordfriesland,1054,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,10,10,16,18,19,19,20,22,24,27,36,39,39,40,42,45,48,48,49,51,52,53,59,09/04/2020 0:00
Ostholstein,1055,0,0,0,0,0,0,0,1,1,1,1,2,2,4,4,4,7,11,12,13,13,17,18,22,23,23,23,23,32,39,43,47,51,51,52,52,52,53,09/04/2020 0:00
Pinneberg,1056,1,1,1,2,2,2,2,4,4,5,5,18,24,24,27,54,60,76,76,88,92,115,122,155,178,178,188,205,233,250,271,304,304,339,339,377,423,445,09/04/2020 16:00
Plön,1057,0,0,0,0,0,0,2,2,2,2,2,2,6,6,6,8,10,11,12,12,21,23,31,38,45,50,54,54,56,58,64,68,72,73,75,80,89,89,08/04/2020 20:53
Rendsburg-Eckernförde,1058,0,0,0,0,0,0,0,0,1,1,1,8,8,12,13,16,21,24,30,33,37,46,56,73,89,100,112,112,125,128,137,147,158,166,166,172,177,186,09/04/2020 0:00
Schleswig-Flensburg,1059,0,0,0,0,0,0,0,0,1,2,5,5,11,16,17,21,22,23,24,27,27,34,34,38,48,62,67,69,75,87,88,91,93,95,95,99,101,104,09/04/2020 16:00
Segeberg,1060,1,1,2,2,2,2,2,2,2,4,4,4,6,7,14,18,19,27,29,30,34,43,48,55,63,72,73,80,93,108,119,133,141,143,151,162,169,172,09/04/2020 0:00
Steinburg,1061,0,0,0,0,0,0,0,0,0,0,2,2,4,4,4,4,8,8,13,13,13,20,21,23,28,36,36,36,40,43,51,53,53,53,62,62,66,70,09/04/2020 0:00
Stormarn,1062,1,1,1,1,1,1,1,1,1,1,1,1,1,8,8,17,21,29,43,52,60,68,79,88,95,113,120,132,147,155,161,175,185,195,199,209,215,222,09/04/2020 19:00
Hamburg,2000,5,5,6,11,13,17,22,35,54,88,123,158,196,260,312,414,506,664,768,887,1043,1237,1450,1614,1759,1935,2078,2214,2290,2437,2557,2739,2882,3019,3088,3217,3370,3518,09/04/2020 0:00
Braunschweig,3101,0,0,1,1,1,1,1,1,1,2,2,5,5,8,12,13,18,25,29,56,58,63,73,80,94,109,138,144,148,169,189,209,216,225,231,232,241,247,09/04/2020 0:00
Salzgitter,3102,0,0,0,0,0,0,0,0,0,1,1,2,2,2,3,5,10,18,23,25,26,30,34,41,44,45,45,53,55,58,61,64,67,70,72,72,85,94,09/04/2020 15:34
Wolfsburg,3103,0,0,0,0,0,0,0,0,0,0,2,3,3,3,4,8,10,14,16,20,28,31,40,51,98,122,145,163,171,184,195,217,217,221,222,225,228,235,09/04/2020 16:34
Gifhorn,3151,0,0,0,0,0,0,0,0,0,0,5,7,7,16,20,23,26,32,34,34,37,39,43,48,53,62,62,68,78,77,87,92,95,96,99,103,107,106,09/04/2020 0:00
Goslar,3153,0,0,0,0,0,0,0,0,0,0,0,5,5,7,7,14,14,18,18,21,22,24,31,40,46,51,51,60,61,61,60,70,74,82,87,89,90,98,09/04/2020 0:00
Helmstedt,3154,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,5,9,9,16,18,18,24,26,39,45,45,53,60,65,69,76,78,82,82,84,84,91,105,09/04/2020 15:46
Northeim,3155,0,0,0,0,0,0,0,0,0,3,4,5,5,7,7,7,13,17,17,17,22,27,29,32,33,33,33,40,41,42,49,53,53,53,62,62,64,67,09/04/2020 0:00
Peine,3157,0,0,0,0,0,0,0,0,0,0,0,2,2,2,8,8,11,15,20,21,21,25,31,40,40,54,62,77,90,94,99,105,108,110,110,117,122,124,09/04/2020 0:00
Wolfenbüttel,3158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,6,6,6,7,11,20,26,29,32,32,35,47,55,60,73,75,76,76,81,86,99,09/04/2020 0:00
Göttingen,3159,0,0,0,0,0,0,0,0,0,0,3,4,4,14,19,32,45,51,61,70,75,83,94,115,127,142,158,200,208,234,270,286,312,340,351,370,399,433,09/04/2020 0:00
Region Hannover,3241,2,2,3,3,3,4,7,11,17,25,59,60,60,121,138,173,238,304,310,341,368,428,510,588,661,692,738,811,867,911,976,1039,1072,1110,1165,1234,1310,1389,09/04/2020 0:00
Diepholz,3251,0,0,0,0,0,0,0,0,0,3,11,21,21,25,35,37,47,63,75,75,90,100,102,111,117,126,126,138,154,166,184,204,211,221,222,233,247,255,09/04/2020 18:47
Hameln-Pyrmont,3252,0,0,0,0,0,0,0,0,1,1,2,3,3,7,9,13,19,23,26,27,28,28,32,38,44,60,70,70,73,79,82,83,89,89,89,92,94,97,09/04/2020 0:00
Hildesheim,3254,0,0,0,0,2,2,2,3,3,3,3,14,31,31,44,66,84,89,97,97,100,114,123,144,152,152,152,153,161,172,180,190,197,197,197,204,211,215,09/04/2020 15:00
Holzminden,3255,0,0,0,0,0,0,0,0,0,1,1,1,1,9,13,14,19,23,27,27,29,30,36,39,44,47,47,55,62,62,70,73,76,79,79,79,85,91,09/04/2020 12:20
Nienburg (Weser),3256,0,0,0,0,0,0,0,0,0,2,2,2,2,5,6,6,8,15,15,17,19,21,22,22,24,26,27,29,36,38,39,42,42,52,52,54,56,60,09/04/2020 0:00
Schaumburg,3257,0,0,0,0,0,0,0,0,0,1,2,2,2,4,5,12,19,23,27,29,32,32,38,44,48,53,53,53,54,59,62,71,78,81,81,83,91,106,09/04/2020 0:00
Celle,3351,0,0,3,3,3,3,3,4,5,6,6,8,8,12,15,21,27,36,36,36,44,50,55,61,69,70,72,89,98,102,106,110,110,110,116,119,124,129,09/04/2020 16:00
Cuxhaven,3352,1,1,1,2,2,2,3,3,3,4,5,5,5,5,13,22,28,28,32,34,38,39,39,46,49,53,53,54,55,56,59,60,63,63,65,65,70,72,09/04/2020 0:00
Harburg,3353,0,0,0,0,0,0,3,3,3,5,11,11,11,11,18,39,48,62,74,87,87,95,114,126,134,149,154,156,168,208,228,265,266,275,291,298,316,330,09/04/2020 15:18
Lüchow-Dannenberg,3354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,6,6,6,6,7,7,9,9,9,8,8,10,11,12,12,13,13,14,14,14,09/04/2020 15:19
Lüneburg,3355,0,0,0,0,0,0,0,0,0,1,1,3,3,6,26,42,45,53,54,61,61,65,69,71,75,82,82,82,97,100,108,113,119,120,122,125,132,134,0
Osterholz,3356,0,0,0,0,0,0,0,2,2,8,12,12,12,16,20,20,22,24,24,24,27,29,32,36,42,42,42,49,50,55,56,57,57,57,60,60,64,64,09/04/2020 18:39
Rotenburg (Wümme),3357,2,2,2,2,2,2,2,3,5,5,5,7,7,18,18,19,22,25,30,34,34,36,38,42,49,50,54,55,55,58,63,66,67,72,73,75,76,78,09/04/2020 0:00
Heidekreis,3358,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,4,4,5,6,7,10,10,15,21,21,25,25,28,30,33,36,41,41,44,44,48,52,09/04/2020 0:00
Stade,3359,0,0,1,1,2,6,11,11,13,14,17,21,21,24,28,33,37,43,58,58,66,73,80,92,103,105,109,115,117,123,127,135,141,152,153,156,160,162,09/04/2020 0:00
Uelzen,3360,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,3,3,5,7,7,11,12,15,16,19,23,24,25,25,26,26,27,28,29,29,29,31,33,09/04/2020 15:19
Verden,3361,0,0,0,0,0,0,0,2,3,5,8,8,8,12,14,20,23,24,26,27,33,37,37,43,48,50,57,58,73,80,82,96,96,96,100,106,107,107,09/04/2020 15:30
Delmenhorst,3401,0,0,1,1,1,1,1,1,1,1,5,5,5,5,5,5,8,8,8,8,8,12,13,16,17,17,17,20,22,24,24,25,26,26,26,26,27,29,09/04/2020 15:24
Emden,3402,0,0,0,0,0,0,0,0,0,3,3,3,3,4,4,7,7,7,8,8,8,8,9,9,9,9,9,7,8,10,8,8,10,11,12,13,14,14,09/04/2020 18:17
Oldenburg (Oldb),3403,1,1,1,1,2,2,2,6,6,6,11,11,11,18,25,26,30,31,31,31,49,61,74,76,91,91,91,107,111,116,130,143,143,143,159,162,173,184,09/04/2020 0:00
Osnabrück,3404,0,0,0,0,0,0,1,1,1,7,7,19,19,38,54,62,83,101,108,119,135,145,174,197,199,215,224,249,259,267,276,285,300,312,322,332,368,377,09/04/2020 14:30
Wilhelmshaven,3405,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,5,5,5,5,5,5,6,6,6,6,6,6,6,7,7,7,8,9,10,10,11,13,13,09/04/2020 0:00
Ammerland,3451,1,1,1,1,1,1,1,1,1,1,7,7,7,7,11,14,17,20,21,24,33,36,44,50,56,64,77,82,88,93,99,103,107,111,115,119,132,138,09/04/2020 16:00
Aurich,3452,0,0,0,0,0,0,0,1,1,1,3,12,12,16,17,22,27,27,31,31,31,34,41,48,48,49,49,54,58,64,69,71,71,72,72,74,78,78,09/04/2020 0:00
Cloppenburg,3453,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,3,9,11,13,14,14,18,24,24,31,31,38,38,38,38,46,50,56,57,58,60,65,09/04/2020 15:30
Emsland,3454,0,0,0,0,0,0,0,1,1,3,4,10,10,31,36,43,51,56,63,64,67,78,93,102,114,136,140,146,149,165,175,181,191,200,201,213,244,255,09/04/2020 12:35
Friesland,3455,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,3,3,5,6,6,7,7,8,9,10,10,10,12,15,18,20,20,20,22,23,24,24,09/04/2020 18:49
Grafschaft Bentheim,3456,1,1,1,1,1,1,1,1,1,1,3,5,5,5,11,15,23,23,29,29,29,35,44,52,62,82,84,87,92,101,109,121,130,132,137,152,160,166,09/04/2020 0:00
Leer,3457,1,1,1,1,1,1,1,1,1,1,1,1,3,3,7,10,12,12,13,14,14,17,20,25,28,33,34,38,41,44,49,53,54,59,62,62,63,66,09/04/2020 15:32
Oldenburg,3458,0,0,1,1,1,1,1,1,1,4,4,4,4,4,8,9,12,15,16,16,16,25,33,45,56,60,96,108,113,119,146,159,159,169,169,185,182,182,09/04/2020 19:42
Osnabrück,3459,0,0,1,1,1,1,2,2,2,15,15,39,39,47,50,61,74,91,107,119,134,146,175,213,236,256,279,288,319,331,361,418,448,472,512,531,629,658,09/04/2020 14:30
Vechta,3460,0,0,0,0,0,0,0,0,0,2,2,3,3,6,6,17,22,33,47,54,59,63,92,94,115,128,133,156,179,194,200,211,224,230,235,244,253,261,09/04/2020 0:00
